Date,Open,High,Low,Close,Adj Close,Volume
2020-11-16,131.725006,136.494995,131.559998,135.152496,135.011185,41377600
2020-11-17,135.524994,135.962494,133.037506,134.222504,134.082169,31202800
2020-11-18,134.652496,136.057495,131.850006,134.287506,134.147110,51092400
2020-11-19,132.127502,134.875000,131.000000,134.402496,134.261993,56593600
2020-11-20,134.539993,134.945007,130.649994,130.877502,130.740677,34108800
2020-11-23,131.712494,133.824997,130.154999,131.399994,131.262634,36135600
2020-11-24,131.425003,131.619995,128.850006,129.577499,129.442032,34650000
2020-11-25,130.324997,132.695007,130.199997,132.347504,132.209152,25991600
2020-11-27,133.750000,134.074997,131.705002,132.612503,132.473877,16727600
2020-11-30,132.649994,134.125000,129.722504,134.014999,133.874878,28695200
2020-12-01,134.922501,135.287506,132.282501,133.899994,133.760025,29694800
2020-12-02,133.505005,136.735001,132.342499,135.445007,135.303421,28336000
2020-12-03,135.875000,136.600006,133.289993,133.960007,133.859497,19952000
2020-12-04,134.485001,135.600006,133.887497,135.582504,135.480774,20224400
2020-12-07,136.012497,137.312500,135.000000,136.067505,135.965424,22324400
2020-12-08,135.850006,135.987503,132.815002,133.500000,133.399826,27192000
2020-12-09,133.005005,134.139999,128.682495,129.307495,129.210464,40130000
2020-12-10,128.690002,130.687500,128.494995,129.722504,129.625168,20776400
2020-12-11,129.672501,130.199997,128.229996,130.132507,130.034866,20926400
2020-12-14,130.880005,133.887497,130.774994,133.087494,132.987640,27015600
2020-12-15,134.397507,134.639999,131.867493,133.604996,133.504745,19301600
2020-12-16,134.225006,134.372498,132.125000,132.425003,132.325653,22311600
2020-12-17,133.667496,133.794998,131.785004,133.412506,133.312408,23138400
2020-12-18,133.789993,134.050003,130.705002,132.720001,132.620407,34206400
2020-12-21,130.747498,133.699997,129.675003,133.322495,133.222473,30233200
2020-12-22,133.192505,133.372498,130.539993,132.782501,132.682877,18558000
2020-12-23,132.559998,132.750000,130.050003,130.092499,129.994904,17914400
2020-12-24,130.372498,131.324997,129.387497,129.937500,129.840012,9788400
2020-12-28,130.625000,130.625000,127.632500,129.000000,128.903198,21256400
2020-12-29,129.250000,130.725006,128.422501,129.432495,129.335388,17037200
2020-12-30,129.902496,132.137497,128.967499,131.457504,131.358871,22539600
2020-12-31,131.365005,131.509995,129.149994,130.550003,130.452057,19242400
2021-01-04,131.042496,136.524994,129.625000,131.134995,131.036606,56064000
2021-01-05,130.997498,134.434998,130.869995,134.047501,133.946915,32276000
2021-01-06,132.225006,132.449997,125.860001,126.144997,126.050354,58042400
2021-01-07,129.675003,133.777496,128.865005,133.440002,133.339874,46148000
2021-01-08,133.625000,134.210007,130.419998,132.767502,132.667877,29252800
2021-01-11,134.187500,139.610001,133.625000,136.214996,136.112793,51834400
2021-01-12,137.524994,137.544998,133.449997,134.847504,134.746323,29147600
2021-01-13,134.899994,136.250000,133.850006,135.317505,135.215973,21002800
2021-01-14,135.750000,135.997498,131.804993,132.002502,131.903473,28312000
2021-01-15,132.279999,133.252502,128.485001,128.595001,128.498520,27778000
2021-01-19,130.162506,130.940002,128.440002,130.252502,130.154770,22618800
2021-01-20,131.117493,134.304993,130.567505,133.657501,133.557220,25857200
2021-01-21,134.184998,139.992493,132.529999,138.675003,138.570969,33778000
2021-01-22,137.399994,138.417496,136.272507,137.125000,137.022125,24682000
2021-01-25,137.817505,138.285004,132.365005,136.532501,136.430054,25111200
2021-01-26,135.804993,136.447495,133.875000,134.352493,134.251694,16398000
2021-01-27,132.300003,132.327499,127.937500,129.177505,129.080566,37127200
2021-01-28,129.962494,133.397507,129.604996,130.509995,130.412064,22831600
2021-01-29,130.750000,133.347504,129.115005,129.897507,129.800049,27155200
2021-02-01,130.532501,132.707504,129.027496,132.369995,132.270676,21720400
2021-02-02,133.987503,135.720001,132.854996,135.567505,135.465790,22044000
2021-02-03,136.360001,139.317505,135.164993,135.304993,135.203476,24540800
2021-02-04,135.309998,136.735001,133.377502,136.642502,136.539978,20134000
2021-02-05,137.250000,137.372498,135.457504,135.910004,135.808029,16915200
2021-02-08,137.272507,144.737503,137.272507,144.387497,144.279175,43462400
2021-02-09,143.407501,145.832504,142.225006,142.632507,142.525482,28756000
2021-02-10,144.632507,149.050003,143.414993,147.642502,147.531723,48535200
2021-02-11,149.802505,152.722504,149.250000,152.507507,152.393082,45082800
2021-02-12,150.500000,152.912506,147.750000,149.612503,149.500244,37475600
2021-02-16,150.642502,153.725006,149.500000,153.302505,153.187485,32196000
2021-02-17,151.710007,152.235001,147.800003,149.059998,148.948166,27475600
2021-02-18,147.289993,148.732498,145.750000,148.289993,148.178726,23386800
2021-02-19,150.244995,151.770004,148.467499,149.264999,149.153000,27172400
2021-02-22,147.747498,151.332504,143.250000,143.557495,143.449783,32588400
2021-02-23,140.752502,142.387497,133.895004,141.419998,141.313904,39178000
2021-02-24,141.227493,145.067505,137.559998,144.990005,144.881226,44832000
2021-02-25,140.455002,143.747498,132.162506,133.074997,132.975143,82443600
2021-02-26,137.524994,138.544998,133.610001,137.145004,137.042099,50093200
2021-03-01,138.750000,139.250000,135.532501,138.417496,138.313644,35318400
2021-03-02,139.000000,139.205002,133.960007,134.062500,133.961914,26411600
2021-03-03,134.262497,134.514999,127.987503,128.047501,127.951424,37759200
2021-03-04,128.007507,129.750000,120.837502,123.702499,123.609680,57334400
2021-03-05,125.500000,125.500000,116.792503,124.614998,124.521500,54284000
2021-03-08,124.500000,124.712502,115.665001,115.932503,115.845520,54311200
2021-03-09,121.302498,126.167503,120.592499,125.202499,125.151749,52182400
2021-03-10,128.404999,129.800003,124.574997,124.682503,124.631958,38437600
2021-03-11,129.500000,130.462494,127.345001,129.934998,129.882324,29991600
2021-03-12,126.482498,128.887497,125.900002,128.559998,128.507889,24396400
2021-03-15,128.647507,132.067505,127.672501,131.912506,131.859039,22198800
